FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,LAT,LON,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED
CITY,101328,"Ridgecrest, CA (pop. 24K)",35.622,-117.67,1,5,7
CITY,101364,"SACRAMENTO, CA (pop. 407K)",38.582,-121.493,1,5,7
CITY,101385,"San Rafael, CA (pop. 56K)",37.974,-122.53,1,5,7
CITY,101386,"San Simeon, CA (pop. 1K)",35.65,-121.183,1,5,7
CITY,101397,"Santa Cruz, CA (pop. 54K)",36.974,-122.03,1,5,7
CITY,101400,"Santa Rosa, CA (pop. 147K)",38.441,-122.713,1,5,7
CITY,101518,"Susanville, CA (pop. 13K)",40.416,-120.652,1,5,7
CITY,100111,"Bakersfield, CA (pop. 247K)",35.373,-119.018,1,5,7
CITY,100924,"Los Angeles, CA (pop. 3.694M)",34.052,-118.243,1,5,7
CITY,101224,"Paso Robles, CA (pop. 24K)",35.633,-120.717,1,5,7
CITY,101262,"Point Arena, CA (pop. < 1K)",38.909,-123.692,1,5,7
CITY,101399,"Santa Maria, CA (pop. 77K)",34.953,-120.435,1,5,7
CITY,101598,"Victorville, CA (pop. 64K)",34.536,-117.29,1,5,7
CITY,101639,"Weaverville, CA (pop. 3.5K)",40.731,-122.941,1,5,7
CITY,100644,"Grass Valley, CA (pop. 10K)",39.219,-121.06,1,5,7
CITY,101210,"Palm Springs, CA (pop. 42K)",33.83,-116.544,1,5,7
CITY,100155,"Big Bear City, CA (pop. 5.7K)",34.261,-116.844,1,5,7
CITY,100392,"Crescent City, CA (pop. 4K)",41.756,-124.201,1,5,7
CITY,100852,"Lake Isabella, CA (pop. 3.3K)",35.609,-118.483,1,5,7
CITY,100947,"Mammoth Lakes, CA (pop. 7K)",37.649,-118.971,1,5,7
CITY,101379,"San Francisco, CA (pop. 776K)",37.775,-122.418,1,5,7
CITY,101395,"Santa Barbara, CA (pop. 92K)",34.423,-119.703,1,5,7
CITY,101396,"Santa Clarita, CA (pop. 151K)",34.378,-118.613,1,5,7
CITY,101377,"San Bernardino, CA (pop. 185K)",34.121,-117.302,1,5,7
CITY,100187,"Borrego Springs, CA (pop. 2.5K)",33.256,-116.374,1,5,7
CITY,101382,"San Luis Obispo, CA (pop. 44K)",35.283,-120.659,1,5,7
CITY,101463,"South Lake Tahoe, CA (pop. 23K)",38.946,-119.97,1,5,7
CITY,101574,"Twentynine Palms, CA (pop. 14K)",34.136,-116.053,1,5,7
