FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,SHORT_NAME,DESCRIPTION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED,ATTR:CD,ATTR:Main,ATTR:TBMPage
"STRUCTURE","100591","HANSEN DAM GOLF COURSE/PARK","","12001  KAGEL CANYON ST---SUN VALLEY---91331",34.25715,34.25715,-118.412619,-118.412619,1,5,7,7,ND,502G4
"STRUCTURE","100592","REC & PARKS SERVICE","","12001  MOORPARK ST------91604",34.150449,34.150449,-118.394431,-118.394431,1,5,7,0,,
"STRUCTURE","100593","LANDSCAPE MEDIAN ISLAND","","12001  VENTURA BL---STUDIO CITY---91604",34.143757,34.143757,-118.392965,-118.392965,1,5,7,0,ND,563A6
"STRUCTURE","100594","WILBUR/TAMPA PARK","","12001  WILBUR AV---PORTER RANCH---91311",34.27825,34.27825,-118.547009,-118.547009,1,5,7,12,ND,480F7
"STRUCTURE","100595","HANSEN DAM GOLF COURSE/PARK","","12002  MONTAGUE ST---SUN VALLEY---91331",34.257339,34.257339,-118.39009,-118.39009,1,5,7,7,ND,502G4
"STRUCTURE","100596","LAKE VIEW TERRACE BRANCH LIBRARY","","12002  OSBORNE ST---LOS ANGELES---91040",34.273483,34.273483,-118.393847,-118.393847,1,5,7,7,ND,502G1
"STRUCTURE","100597","HYPERION TREATMENT PLANT","","12002  VISTA DEL MAR BL---PLAYA DEL REY---90293",33.9307,33.9307,-118.434787,-118.434787,1,5,7,11,SD,732D1
"STRUCTURE","100598","MAR VISTA BRANCH LIBRARY","","12006  VENICE BL---MAR VISTA---90066",34.005935,34.005935,-118.428982,-118.428982,1,5,7,11,SD,672C2
"STRUCTURE","100599","FIRE STATION #13","","1201  MENLO AV---LOS ANGELES---90006",34.049016,34.049016,-118.290844,-118.290844,1,5,7,1,SD,634A4
"STRUCTURE","100600","NAL PARK","","1201 N FIGUEROA PL---WILMINGTON---90744",33.786086,33.786086,-118.281732,-118.281732,1,5,7,15,SD,794C5
"STRUCTURE","100601","LOS ANGELES CONVENTION CENTER","","1201 S FIGUEROA ST---LOS ANGELES---90015",34.041864,34.041864,-118.267001,-118.267001,1,5,7,9,SD,634D5
